From,Subject,Body,X-FileName,IsPhishing
SouthTrust <identdep_op718@southtrust.com>,"IMPORTANT ACCOUNT NOTICE FROM SOUTHTRUST BANK [Thu, 16 Jun 2005 12:20:57 -0600]",None,None,1
"""emailconfirm@ebay.com"" <emailconfirm@ebay.com>",eBay account verification!,None,None,1
emailconfirm@ebay.com,eBay account verification!,None,None,1
Key Team <support@keybank.com>,KeyBank Customer Confirm Your Identity,None,None,1
Key Team <support@keybank.com>,KeyBank Customer Confirm Your Identity,None,None,1
PayPal <acc-validity@paypal.com>,Account compromised: billing information moved or changed.,None,None,1
Account Service <service@paypal.com>,Verify your PayPal Account,None,None,1
Paypal Account Review Department <service@paypal.com>,Notification of Limited Account Access (Routing Code: PP-091-233-629),None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of Limited Account Access (Routing Code: C840-L001-Q190-T1830) Unauthorized Access:NA (Routing Code: C840-L001-Q-T-S113) ,None,None,1
SouthTrust <custservice_2523494@southtrust.com>,OFFICIAL INFORMATION FOR CLIENT OF SOUTHTRUST BANK,None,None,1
Ebay Team <aw45-confirm@ebay.com>,eBay - verify your account information,None,None,1
LaSalle Bank <accounts@lasallebank.com>,- Notification about your Lasalle online account -,None,None,1
"""service@paypal.com"" <service@paypal.com>",Your PayPal Billing Information records are out of date. Please update them immediately to restore your account.,None,None,1
aw-confirm@ebay.com,None,b'\n',None,1
National Credit Union Administration <verify@ncua.gov>,Account activity verification.,None,None,1
SOUTHTRUST BANK <support_ref_91388479@southtrust.com>,"Attention SouthTrust Bank client [Thu, 30 Jun 2005 13:40:11 -0700]",None,None,1
"""support@eBay.com"" <aw-confirm@eBay.com>",Private message from eBay accounts management.,None,None,1
Security Center <aw-alert@eBay.com>,Security Center (action required),None,None,1
"""acc-activate@ncua.gov"" <confirm@ncua.gov>",FCU NOTICE: Important security renewal,None,None,1
"""acc-activate@ncua.gov"" <confirm@ncua.gov>",FCU NOTICE: Important security renewal,None,None,1
Lasalle Bank <unlock@lasallebank.com>,Unlock your ACCOUNT,None,None,1
Lasalle Bank <unlock@lasallebank.com>,Unlock your ACCOUNT,None,None,1
Importants of Bank of the West <bank@bankofthewest.com>,Protect Yourself Against Financial Fraud!,None,None,1
"""service@paypal.com"" <service@paypal.com>",Your PayPal Account Could Be Suspended,None,None,1
"""service@paypal.com"" <service@paypal.com>",Your PayPal Account Could Be Suspended,None,None,1
Postbank <support@postbank.de>,Warnung der Banksicherheitsdienst hinsichtlich der Internet - Misstaeter,None,None,1
Lasalle Bank <unlock@lasallebank.com>,Important NOTICE,None,None,1
SOUTHTRUST BANK <custservice_84890@southtrust.com>,SouthTrust Bank: Important Fraud AIert,None,None,1
SouthTrust <custservice_ref_243818@southtrust.com>,"CUSTOMER NOTICE: YOUR ACCOUNT IN SOUTHTRUST BANK [Thu, 07 Jul 2005 22:00:59 -0400]",None,None,1
First USA Corporation <custsupport@firstusa.com>,Confirm your Online Banking records,None,None,1
Bank Of The West <service@bankofthewest.com>,Update Your Account Information,None,None,1
Paypal <service@paypal.com>,Paypal - Email Change Requested.,None,None,1
Bank Of The West <confirm@bankofthewest.com>,Security Update,None,None,1
