From,Subject,Body,IsPhishing
"[('Mail System Internal Data', 'MAILER-DAEMON@monkey.org')]",DON'T DELETE THIS MESSAGE -- FOLDER INTERNAL DATA,"{'automatically': 1, 'created': 2, 'data': 2, 'deleted': 1, 'folder': 2, 'format': 1, 'important': 1, 'initial': 1, 'internal': 1, 'lost': 1, 'mail': 2, 'message': 1, 'real': 1, 'reset': 1, 'software': 1, 'text': 1, 'values': 1}",1
"[('', 'shipment@fedex.com')]",✈ FedEx © Shipment Notification 384789299,"{'2021': 1, '32': 1, '384789299fedex': 1, '41': 1, '48': 1, '53': 1, 'charged': 1, 'click': 1, 'com': 1, 'cost': 3, 'costs': 1, 'customer': 1, 'dear': 1, 'domestic': 1, 'en': 1, 'fedex': 2, 'fr': 1, 'handling': 1, 'hours': 1, 'https': 1, 'mail_boundary': 1, 'office': 1, 'package': 2, 'paid': 1, 'pay': 1, 'payment': 1, 'period': 1, 'reason': 1, 'recover': 1, 'return': 1, 'returned': 2, 'sender': 1, 'shipment': 2, 'shipping': 2, 'status': 1, 'support': 1, 'team': 1, 'tracking': 1, 'usd': 1, 'view': 1}",1
"[('DocuSign via DocuSign', 'DocuSign@monkey.org')]",Please DocuSign: Offer20201116-0740974_jose.pdf,"{'0740974_jose': 1, 'app': 1, 'binding': 1, 'completed': 3, 'digital': 1, 'document': 2, 'documents': 1, 'docusign': 3, 'docusignsign': 1, 'download': 1, 'electronically': 1, 'globe': 1, 'home': 1, 'just': 1, 'legally': 1, 'management': 1, 'minutes': 1, 'offer20201116': 1, 'office': 1, 'pdf': 1, 'professional': 1, 'provides': 1, 'safe': 1, 'secure': 1, 'signers': 1, 'solution': 1, 'transaction': 1, 'trusted': 1, 'view': 1}",1
"[('Support', 'info@baliyev.com')]",New Recording [13913670],"{'00': 2, '20': 2, '2021': 2, '32': 2, '35': 2, '6kb': 2, '800': 2, '8767': 2, '90': 2, '900': 2, '908': 2, '987': 2, 'an32': 2, 'app': 2, 'click': 4, 'contact': 2, 'details': 2, 'error': 2, 'html': 2, 'https': 2, 'jan': 2, 'jose': 2, 'length': 2, 'list': 2, 'mail': 4, 'mail_boundary': 1, 'mayaadri': 2, 'message': 3, 'mon': 2, 'monkey': 2, 'new': 3, 'org': 2, 'play': 2, 'received': 2, 'receiving': 2, 'recived': 2, 'saklncsao': 2, 'sent': 2, 'spam': 2, 'voice': 4, 'voicemail': 2, 'web': 2}",1
"[('Support', 'info@baliyev.com')]",New Recording [13913670],"{'01': 4, '0sec': 2, '12': 2, '2021': 1, '2021duration': 1, '24': 2, '328': 2, '701': 2, '9010': 1, '9010date': 1, 'an32': 1, 'app': 1, 'caller': 4, 'date': 1, 'directory': 2, 'duration': 1, 'email': 2, 'hours': 2, 'html': 1, 'https': 1, 'id': 2, 'jose': 5, 'just': 2, 'left': 2, 'link': 2, 'listen': 2, 'mail_boundary': 1, 'mayaadri': 1, 'message': 4, 'messąge': 2, 'mkasiwas': 1, 'monkey': 5, 'org': 4, 'orgyour': 1, 'sent': 2, 'voice': 2, 'web': 1}",1
"[('Support', 'info@baliyev.com')]",New Recording [13913670],"{'01': 4, '0sec': 2, '12': 2, '2021': 1, '2021duration': 1, '24': 2, '328': 2, '701': 2, '9010': 1, '9010date': 1, 'an32': 1, 'app': 1, 'caller': 4, 'date': 1, 'directory': 2, 'duration': 1, 'email': 2, 'hours': 2, 'html': 1, 'https': 1, 'id': 2, 'jose': 5, 'just': 2, 'left': 2, 'link': 2, 'listen': 2, 'mail_boundary': 1, 'mayaadri': 1, 'message': 4, 'messąge': 2, 'mkasiwas': 1, 'monkey': 5, 'org': 4, 'orgyour': 1, 'sent': 2, 'voice': 2, 'web': 1}",1
"[('Fidelity Investments.', 'bcornett@pacific.net')]",Service Suspension Notification.,"{'account': 1, 'attach': 1, 'best': 1, 'blocked': 1, 'complete': 1, 'customer': 1, 'dear': 1, 'download': 1, 'fidelity': 1, 'file': 1, 'information': 1, 'invalid': 1, 'login': 1, 'notification': 1, 'prevent': 1, 'process': 1, 'quested': 1, 'reason': 1, 'regards': 1, 'securty': 1, 'service': 1, 'suspended': 1, 'suspension': 1, 'team': 1, 'verification': 1}",1
"[('Notificados.com', 'notificacion@notificados.com')]",Envio de Burofax Online - ultima advertencia - [ id 77106725  ],"{'01': 1, '02': 2, '06': 1, '07': 1, '128': 1, '20': 2, '2021': 2, '25': 1, '28006': 1, '48': 1, 'abogados': 1, 'adjuntos': 1, 'archivos': 1, 'burofax': 1, 'calle': 1, 'com': 1, 'comunicaciones': 1, 'da': 1, 'del': 1, 'departamento': 1, 'descargar': 1, 'document': 1, 'dogaria': 1, 'envio': 1, 'febrero': 1, 'fecha': 1, 'fehacientes': 1, 'hora': 1, 'hs': 1, 'juridico': 1, 'kb': 1, 'lima': 1, 'madrid': 2, 'martes': 1, 'notificados': 2, 'numero': 1, 'online': 1, 'paginas': 1, 'remitente': 1, 'todos': 1, 'verdu': 1, 'vinar': 1, 'www': 1}",1
"[('Ministerio del Interior', 'notificaciones@interior.gob.es')]",Multa no pagada - bloque de vehiculos - [ id 990013050  ],"{'01': 1, '02': 1, '03': 1, '11': 1, '12': 1, '2021': 2, 'abra': 1, 'atencion': 1, 'copyright': 1, 'cordiales': 1, 'derechos': 1, 'dgt': 1, 'en': 2, 'ha': 1, 'identificado': 1, 'la': 2, 'los': 1, 'multa': 3, 'notificacion': 1, 'notificacionvisite': 1, 'nuestro': 1, 'pagadadirigida': 1, 'para': 2, 'pendiente': 2, 'reservados': 1, 'saludos': 1, 'se': 1, 'sistema': 2, 'su': 1, 'tienes': 1, 'todos': 1, 'trafico': 1, 'una': 2, 'usted': 1, 'v5': 1, 'vehiculo': 1, 'ver': 2, 'version': 1, 'windows': 1}",1
"[('Wellsfargo.', 'info@cargoholdinc.com')]",Your Wells Fargo® monthly statement is available.,"{'attached': 1, 'available': 1, 'card': 1, 'complete': 1, 'customer': 1, 'dear': 1, 'debit': 1, 'download': 1, 'fargo': 2, 'file': 1, 'information': 1, 'monthly': 1, 'pin': 1, 'process': 1, 'requested': 1, 'required': 1, 'statement': 1, 'team': 1, 'thanks': 1, 'view': 1, 'wells': 2}",1
"[('monkey.org', 'admin@726.eryfj.ml')]",Unusual sign-in-activity 2/4/2021 1:36:45 a.m. (EDT).,"{'02': 1, '04': 1, '10': 1, '140': 1, '2021': 1, '41': 1, '59': 1, '701': 1, '81': 1, '92': 1, '922': 1, 'account': 4, 'activity': 5, 'address': 1, 'browser': 1, 'change': 1, 'click': 1, 'country': 1, 'date': 1, 'details': 1, 'detected': 1, 'future': 1, 'gmt': 1, 'gmx': 1, 'help': 1, 'ios': 1, 'ip': 1, 'jose': 1, 'know': 1, 'let': 1, 'll': 2, 'monkey': 4, 'mozilla': 1, 'notifications': 1, 'nt': 1, 'opt': 1, 'org': 4, 'page': 1, 'platform': 1, 'receive': 1, 'recent': 3, 'region': 1, 'review': 1, 'rv': 1, 'secure': 1, 'security': 1, 'sg': 1, 'sign': 4, 'similar': 1, 'singapore': 1, 'team': 1, 'thanks': 1, 'trust': 1, 'unusual': 3, 'wasn': 1, 'win64': 1, 'windows': 1, 'x64': 1}",1
"[('Ministerio del Interior', 'notificaciones@interior.gob.es')]",Multa no pagada - bloque de vehiculos - [ id 628273011  ],"{'02': 1, '04': 1, '07': 1, '2021': 2, '28': 1, '55': 1, 'abra': 1, 'atencion': 1, 'copyright': 1, 'cordiales': 1, 'derechos': 1, 'dgt': 1, 'en': 2, 'ha': 1, 'identificado': 1, 'la': 2, 'los': 1, 'multa': 3, 'notificacion': 1, 'notificacionvisite': 1, 'nuestro': 1, 'pagadadirigida': 1, 'para': 2, 'pendiente': 2, 'reservados': 1, 'saludos': 1, 'se': 1, 'sistema': 2, 'su': 1, 'tienes': 1, 'todos': 1, 'trafico': 1, 'una': 2, 'usted': 1, 'v5': 1, 'vehiculo': 1, 'ver': 2, 'version': 1, 'windows': 1}",1
"[('Standard Bank', 'statement@standardbank.co.za')]",Standard Bank Account eStatement 2021-02-11,"{'000738': 2, '06': 2, '0861': 2, '0861201311': 1, '0861201311our': 1, '1962': 2, '201': 2, '30': 2, '311': 2, '4pm': 2, '8am': 3, '9pm': 2, 'accepts': 2, 'access': 2, 'account': 2, 'acrobat': 2, 'addressee': 4, 'adobe': 4, 'advise': 2, 'africa': 2, 'arising': 2, 'asking': 2, 'attached': 2, 'attaching': 2, 'attachments': 4, 'authorised': 2, 'bank': 16, 'block': 2, 'change': 2, 'claiming': 2, 'clearly': 4, 'com': 2, 'communication': 2, 'confidential': 4, 'confidentiality': 2, 'contact': 2, 'context': 2, 'copyright': 2, 'cp15': 2, 'credit': 2, 'customer': 2, 'damages': 2, 'days': 2, 'dear': 2, 'delete': 2, 'disclaimer': 2, 'disclose': 2, 'displayed': 2, 'does': 2, 'doubts': 2, 'download': 2, 'effect': 2, 'electronic': 2, 'email': 18, 'emails': 2, 'errors': 2, 'estatement': 10, 'expressed': 2, 'features': 2, 'february': 2, 'financial': 4, 'following': 2, 'forward': 2, 'free': 4, 'friday': 1, 'fridayand': 1, 'from8am': 1, 'group': 14, 'hereto': 2, 'holidays': 2, 'howsoever': 2, 'immediately': 4, 'incorrect': 2, 'incurred': 2, 'indicates': 2, 'information': 10, 'instruction': 2, 'integrity': 2, 'intended': 2, 'interception': 2, 'interference': 2, 'kindly': 2, 'know': 2, 'legitimacy': 2, 'liability': 2, 'limited': 6, 'lines': 2, 'loss': 2, 'mail': 2, 'mail_boundary': 1, 'manner': 2, 'mistake': 2, 'monday': 2, 'ncr': 2, 'need': 2, 'note': 4, 'notify': 2, 'open': 4, 'opinions': 2, 'phishing': 2, 'private': 2, 'prompted': 2, 'property': 2, 'provider': 4, 'public': 2, 'queries': 2, 'receipt': 2, 'receive': 6, 'reg': 2, 'regards': 2, 'registered': 2, 'reserved': 2, 'resulting': 2, 'rights': 4, 'safe': 2, 'security': 2, 'send': 2, 'sender': 4, 'services': 2, 'software': 2, 'south': 2, 'standard': 16, 'standardbank': 4, 'stated': 2, 'statement': 4, 'subsidiaries': 2, 'suffered': 2, 'sure': 2, 'thirty': 2, 'unless': 4, 'update': 2, 'use': 4, 'verification': 2, 'views': 2, 'viruses': 2, 'warrant': 2, 'weekends': 2, 'whatsoever': 6, 'wish': 2, 'writing': 2, 'www': 2, 'za': 3, 'zafor': 1}",1
"[('monkey.org', 'noreply@monkey.org')]",Notification - MailBox has (3) Pending emails,"{'12': 1, '2021': 1, '28': 1, '44': 1, 'caused': 1, 'delay': 1, 'emails': 1, 'hi': 1, 'jose': 1, 'mail': 1, 'messages': 1, 'monkey': 2, 'notification': 1, 'org': 2, 'pending': 1, 'rectify': 1, 'saver': 1, 'source': 1, 'support': 1, 'unreceived': 1, 'view': 1}",1
"[('monkey.org', 'noreply@monkey.org')]",Notification - MailBox has (3) Pending emails,"{'05': 1, '13': 1, '14': 1, '2021': 1, 'caused': 1, 'delay': 1, 'emails': 1, 'hi': 1, 'jose': 1, 'mail': 1, 'messages': 1, 'monkey': 2, 'notification': 1, 'org': 2, 'pending': 1, 'rectify': 1, 'saver': 1, 'source': 1, 'support': 1, 'unreceived': 1, 'view': 1}",1
"[('monkey.org Mail Server', 'info@supercynic.live')]",Email Service Upgrade,"{'2021': 1, 'account': 3, 'advised': 1, 'announce': 1, 'best': 1, 'dear': 1, 'delivery': 1, 'email': 5, 'enable': 1, 'enjoy': 1, 'features': 1, 'happy': 1, 'hi': 1, 'highly': 1, 'jose': 1, 'kindly': 1, 'mail_boundary': 1, 'monkey': 2, 'new': 2, 'order': 1, 'org': 2, 'ready': 1, 'regards': 1, 'server': 1, 'service': 1, 'services': 2, 'thanks': 1, 'trusting': 1, 'upgade': 1, 'upgrade': 3, 'upgraded': 1}",1
"[('monkey.org Admin', 'bhvkkpk@piac.aero')]",Password for jose@monkey.org expires today 28/02/2021,"{'02': 1, '2021': 2, '24': 1, '28': 1, 'app': 1, 'change': 1, 'continue': 1, 'current': 2, 'dear': 1, 'email': 1, 'expires': 1, 'jose': 2, 'mailbox': 1, 'monkey': 4, 'org': 4, 'password': 4, 'reserved': 1, 'rights': 1, 'support': 2, 'team': 1, 'today': 1, 'using': 1, 'verification': 1, 'web': 1}",1
"[('Nedbank Credit Card monthly eStatement', 'consumerstatements@nedbankestatements.com')]",Nedbank Credit Card monthly Charges eStatement,"{'000009': 2, '011': 2, '06': 2, '135': 2, '1951': 2, '2196': 2, '4320116074': 2, '4710': 2, '710': 2, 'account': 4, 'act': 2, 'adobe': 6, 'africa': 4, 'alert': 2, 'alternatively': 2, 'association': 2, 'attached': 2, 'authorised': 2, 'banking': 6, 'benefits': 2, 'card': 10, 'centre': 2, 'certificate': 2, 'click': 2, 'code': 2, 'com': 2, 'come': 2, 'confidentiality': 2, 'contact': 2, 'content': 2, 'credit': 6, 'customer': 2, 'dear': 2, 'digital': 4, 'disputes': 2, 'document': 2, 'download': 2, 'email': 6, 'encrypted': 2, 'ensure': 4, 'estatement': 8, 'financial': 2, 'icon': 2, 'id': 2, 'identity': 6, 'information': 2, 'installed': 2, 'integrity': 2, 'kindly': 4, 'latest': 2, 'limited': 2, 'mail_boundary': 1, 'message': 6, 'monthly': 4, 'national': 2, 'ncr': 2, 'ncrcp16': 2, 'nedbank': 9, 'number': 4, 'offering': 2, 'ombudsman': 2, 'open': 4, 'opening': 2, 'option': 2, 'origin': 2, 'passport': 4, 'password': 4, 'practice': 2, 'product': 2, 'provider': 4, 'questions': 2, 'reader': 4, 'receive': 2, 'red': 2, 'reg': 6, 'registered': 2, 'resolution': 2, 'ribbon': 2, 'rivonia': 2, 'road': 2, 'sandown': 2, 'sandton': 2, 'security': 2, 'select': 2, 'sender': 6, 'service': 4, 'services': 4, 'signed': 2, 'signing': 2, 'simply': 2, 'sincerely': 1, 'sincerelynedbank': 1, 'south': 4, 'subscribe': 2, 'support': 2, 'supposed': 2, 'tampered': 4, 'terms': 2, 'unresolved': 2, 'unsubscribe': 2, 'use': 2, 'used': 4, 'vat': 2, 'verify': 4, 'view': 6, 'visit': 2, 'want': 4, 'warning': 2, 'welcome': 2, 'www': 4, 'za': 2}",1
